DBCODE,ENTITY,SITECODE,YEAR,SECTION,REACH,UNITTYPE,UNITNUM,LENGTH,WIDTH1,WIDTH2,WIDTH3,DEPTH1,DEPTH2,DEPTH3,DEPTH4,DEPTH5,DEPTH6,DEPTH7,DEPTH8,DEPTH9,DEPTH10,DEPTH11,DEPTH12,MAXDEPTH,SAMPLEDATE,NOTES
AS006,2,"MACKAL-L",1996,AL,L,C,1.0,,,,,,,,,,,,,,,,,,1996-08-29,""
AS006,2,"MACKAL-U",1996,AL,U,C,1.0,,,,,,,,,,,,,,,,,,1996-08-29,""
AS006,2,"MACKAL-U",1996,AL,U,P,2.0,,,,,,,,,,,,,,,,,,1996-08-29,""
AS006,2,"MACKAL-U",1996,AL,U,SC,3.0,,,,,,,,,,,,,,,,,,1996-08-29,""
AS006,2,"MACKCC-L",1987,CC,L,C,2.0,16.0,2.7,6.0,,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1987,CC,L,C,5.0,12.1,2.0,3.0,4.7,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1987,CC,L,P,4.0,11.4,2.5,3.8,,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1987,CC,L,R,1.0,10.0,3.8,2.7,,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1987,CC,L,S,3.0,1.6,3.8,2.3,,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1987,CC,L,SC,6.0,28.9,2.9,4.5,1.7,,,,,,,,,,,,,,1987-10-07,""
AS006,2,"MACKCC-L",1988,CC,L,,,,,,,,,,,,,,,,,,,,1988-08-30,""
AS006,2,"MACKCC-L",1989,CC,L,,,,,,,,,,,,,,,,,,,,1989-09-06,""
AS006,2,"MACKCC-L",1990,CC,L,C,2.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1990,CC,L,C,5.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1990,CC,L,P,1.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1990,CC,L,P,4.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1990,CC,L,SC,3.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1990,CC,L,SC,6.0,,,,,,,,,,,,,,,,,,1990-08-15,""
AS006,2,"MACKCC-L",1991,CC,L,C,2.0,,,,,,,,,,,,,,,,,,1991-09-05,""
AS006,2,"MACKCC-L",1991,CC,L,C,5.0,,,,,,,,,,,,,,,,,,1991-09-05,""
AS006,2,"MACKCC-L",1991,CC,L,P,1.0,,,,,,,,,,,,,,,,,,1991-09-05,""
AS006,2,"MACKCC-L",1991,CC,L,P,4.0,,,,,,,,,,,,,,,,,,1991-09-05,""
AS006,2,"MACKCC-L",1991,CC,L,SC,3.0,,,,,,,,,,,,,,,,,,1991-09-05,""
AS006,2,"MACKCC-L",1991,CC,L,SC,6.0,,,,,,,,,,,,,,,,,,1991-09-05,""
